National Institute of Technology Kurukshetra,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,17687,25489
National Institute of Technology Kurukshetra,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",OS,38249,42295
National Institute of Technology Manipur,"Civil Engineering (4 Years, Bachelor of Technology)",OS,51762,56593
National Institute of Technology Manipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,17658,29644
National Institute of Technology Manipur,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,44190,47765
National Institute of Technology Manipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,32372,37030
National Institute of Technology Manipur,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,46605,52516
National Institute of Technology Meghalaya,"Civil Engineering (4 Years, Bachelor of Technology)",OS,50611,55209
National Institute of Technology Meghalaya,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,15911,19175
National Institute of Technology Meghalaya,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,31901,39316
National Institute of Technology Meghalaya,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,24586,29028
National Institute of Technology Meghalaya,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,40305,44699
National Institute of Technology Mizoram,"Civil Engineering (4 Years, Bachelor of Technology)",OS,43318,58131
National Institute of Technology Mizoram,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,28938,31336
National Institute of Technology Mizoram,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,45091,48542
National Institute of Technology Mizoram,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,39005,42287
National Institute of Technology Mizoram,"Mathematics and Computing (4 Years, Bachelor of Technology)",OS,21955,37134
National Institute of Technology Mizoram,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,51403,53050
National Institute of Technology Nagaland,"Civil Engineering (4 Years, Bachelor of Technology)",OS,55663,57852
National Institute of Technology Nagaland,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,24324,30401
National Institute of Technology Nagaland,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,42259,47930
National Institute of Technology Nagaland,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,31283,40671
National Institute of Technology Nagaland,"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",OS,43420,49013
National Institute of Technology Nagaland,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,50607,53747
